name,size_numeric,type,sub_race,ethics,morale,armor_class,hit_points,hit_dice_count,strength,dexterity,constitution,intelligence,wisdom,charisma,strength_save,dexterity_save,constitution_save,intelligence_save,wisdom_save,charisma_save,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,passive_perception,sense_darkvision_m,sense_blindsight_m,sense_tremorsense_m,sense_truesight_m,lang_telepathy_m,languages_count,cr,actions_count,reactions_count,legendary_actions_count,special_abilities_count,spell_list_count,speed.walk,speed.swim,skills.history,skills.perception,skills.medicine,skills.religion,speed.fly,skills.stealth,speed.burrow,skills.persuasion,skills.insight,speed.climb,skills.deception,skills.arcana,speed.hover,skills.athletics,skills.acrobatics,skills.survival,skills.investigation,skills.nature,skills.intimidation,skills.performance
Butatsch,6,Aberration,Aberration,-1,0,17,248,16,23,14,21,16,17,14,6.0,2.0,11.0,3.0,8.0,2.0,13.0,0,1,2,4,23,0.0,0.0,0.0,36.0,0.0,2,14.0,4,0,0,1,0,20.0,50.0,3,13,3,3,0.0,2,0.0,2,3,0.0,2,3,0,6,2,3,3,3,2,2
Cackling Skeleton,3,Undead,Undead,0,-1,9,26,4,12,9,15,8,10,14,1.0,-1.0,2.0,-1.0,0.0,4.0,0.0,0,0,1,2,10,18.0,0.0,0.0,0.0,0.0,1,0.5,2,0,0,2,0,30.0,0.0,-1,0,0,-1,0.0,-1,0.0,2,0,0.0,2,-1,0,1,-1,0,-1,-1,2,2
Cadaver Sprite,1,Undead,Undead,0,-1,14,20,8,5,18,10,14,13,8,-3.0,4.0,0.0,2.0,1.0,-1.0,3.0,-1,0,1,2,11,18.0,0.0,0.0,0.0,0.0,1,0.5,3,0,0,0,0,20.0,0.0,2,3,1,2,0.0,8,0.0,-1,1,0.0,-1,2,0,-3,4,1,2,2,-1,-1
Caltrop Golem,3,Construct,Construct,0,0,16,75,10,9,18,16,8,12,3,-1.0,4.0,3.0,-1.0,1.0,-4.0,3.0,0,3,2,8,13,18.0,0.0,9.0,0.0,0.0,1,6.0,4,0,0,7,0,30.0,0.0,-1,3,1,-1,0.0,7,0.0,-4,1,0.0,-4,-1,0,-1,4,1,-1,-1,-4,-4
Carnivorous Ship,6,Monstrosity,shapechanger,0,0,17,186,12,23,6,20,7,10,14,6.0,-2.0,5.0,-2.0,0.0,2.0,5.0,0,0,1,1,15,36.0,18.0,0.0,0.0,0.0,1,13.0,4,0,0,3,0,10.0,60.0,-2,5,0,-2,0.0,-2,0.0,2,0,0.0,12,-2,0,6,-2,0,-2,-2,2,2
Carnivorous Sod,3,Plant,Plant,0,0,12,33,6,14,6,12,2,10,3,2.0,-2.0,1.0,-4.0,0.0,-4.0,0.0,0,0,1,3,10,0.0,9.0,18.0,0.0,0.0,1,1.0,2,0,0,3,0,20.0,0.0,-4,0,0,-4,0.0,-2,20.0,-4,0,0.0,-4,-4,0,2,-2,0,-4,-4,-4,-4
Carrier Mosquito,4,Beast,Beast,0,0,13,75,10,16,13,15,2,8,4,3.0,1.0,2.0,-4.0,-1.0,-3.0,-1.0,0,0,0,0,9,0.0,18.0,0.0,0.0,0.0,1,3.0,1,0,0,2,0,20.0,0.0,-4,-1,-1,-4,40.0,1,0.0,-3,-1,0.0,-3,-4,0,3,1,-1,-4,-4,-3,-3
Catscratch,5,Aberration,Aberration,-1,-1,13,76,8,18,14,17,3,12,8,4.0,2.0,3.0,-4.0,1.0,-1.0,3.0,0,0,1,1,11,18.0,0.0,0.0,0.0,0.0,1,3.0,4,0,0,3,0,30.0,0.0,-4,3,1,-4,0.0,6,0.0,-1,1,15.0,-1,-4,0,4,2,1,-4,-4,-1,-1
Cave Drake,4,Dragon,Dragon,0,0,13,95,10,17,14,18,6,13,11,3.0,2.0,4.0,-2.0,1.0,0.0,3.0,0,0,1,1,13,27.0,0.0,0.0,0.0,0.0,1,3.0,4,0,0,4,0,30.0,0.0,-2,3,1,-2,0.0,4,0.0,0,1,30.0,0,-2,0,3,2,3,-2,-2,0,0
Cave Giant Shaman,5,Giant,Giant,-1,-1,16,207,18,27,10,20,10,15,21,8.0,5.0,10.0,0.0,7.0,5.0,7.0,0,0,0,0,17,36.0,0.0,0.0,0.0,0.0,2,14.0,4,0,0,2,0,40.0,0.0,0,7,2,0,0.0,0,0.0,5,2,0.0,5,5,0,13,0,7,0,0,5,5
Cave Goat,2,Beast,Beast,0,0,11,22,4,14,13,15,2,10,6,2.0,1.0,2.0,-4.0,0.0,-2.0,0.0,0,0,0,0,10,18.0,0.0,0.0,0.0,0.0,1,0.25,1,0,0,2,0,50.0,0.0,-4,0,0,-4,0.0,1,0.0,-2,0,0.0,-2,-4,0,4,1,0,-4,-4,-2,-2
Cavefish Zombie,3,Undead,Undead,0,-1,10,37,5,15,10,16,3,6,3,2.0,0.0,3.0,-4.0,0.0,-4.0,-2.0,0,0,1,1,8,18.0,0.0,0.0,0.0,0.0,1,0.5,1,0,0,2,0,20.0,40.0,-4,-2,-2,-4,0.0,0,0.0,-4,-2,0.0,-4,-4,0,2,0,-2,-4,-4,-4,-4
Chameleon Hydra,5,Monstrosity,Monstrosity,0,0,15,184,16,20,16,20,4,10,7,5.0,3.0,5.0,-3.0,0.0,-2.0,8.0,0,0,0,0,16,18.0,0.0,0.0,0.0,0.0,1,10.0,4,0,0,3,0,20.0,0.0,-3,8,0,-3,0.0,11,0.0,-2,0,40.0,-2,-3,0,5,3,0,-3,-3,-2,-2
Chamrosh,3,Celestial,Celestial,0,1,14,39,6,14,13,15,8,15,16,2.0,1.0,2.0,-1.0,4.0,5.0,6.0,0,2,0,1,16,18.0,0.0,0.0,0.0,18.0,3,1.0,3,0,0,3,0,40.0,0.0,-1,6,2,-1,60.0,1,0.0,3,4,0.0,3,-1,0,2,1,6,-1,-1,3,3
Chatterlome,3,Fiend,Fiend,1,-1,16,93,11,15,18,18,11,14,10,2.0,4.0,4.0,0.0,5.0,3.0,5.0,0,5,1,1,15,36.0,0.0,0.0,0.0,18.0,4,7.0,3,0,0,1,0,30.0,0.0,0,5,2,0,0.0,7,0.0,0,2,0.0,0,0,0,2,4,2,0,0,0,0
Cherufe,5,Elemental,Elemental,-1,-1,19,161,14,22,10,21,8,14,6,11.0,0.0,10.0,-1.0,2.0,-2.0,7.0,0,5,2,5,17,18.0,0.0,36.0,0.0,0.0,2,14.0,5,0,0,2,0,40.0,0.0,-1,7,2,-1,0.0,0,40.0,-2,2,0.0,-2,-1,0,6,0,2,-1,-1,-2,-2
Chill Haunt,3,Undead,Undead,0,-1,13,39,6,7,16,14,8,16,13,-2.0,3.0,2.0,-1.0,3.0,1.0,3.0,0,6,4,9,13,18.0,0.0,0.0,0.0,0.0,1,3.0,1,0,0,3,0,0.0,0.0,-1,3,3,-1,30.0,3,0.0,1,3,0.0,1,-1,0,-2,5,3,-1,-1,1,1
Chimeric Phantom,3,Undead,Undead,-1,0,11,36,8,12,13,10,13,14,5,1.0,1.0,0.0,1.0,2.0,-3.0,2.0,0,8,1,9,11,18.0,0.0,0.0,0.0,0.0,1,2.0,2,0,0,2,0,0.0,0.0,1,2,2,1,40.0,1,0.0,-3,2,0.0,-3,1,1,1,1,2,1,1,-3,-3
Chronomatic Enhancer,4,Construct,Construct,0,0,16,152,16,21,11,19,9,15,5,5.0,4.0,4.0,-1.0,2.0,-3.0,2.0,0,3,2,6,16,18.0,0.0,3.0,0.0,0.0,1,12.0,3,1,0,2,0,30.0,0.0,-1,2,2,-1,0.0,0,0.0,-3,2,0.0,-3,-1,0,5,0,2,-1,-1,-3,-3
Clockwork Archon,6,Construct,Construct,0,0,18,201,13,24,9,20,7,10,10,7.0,-1.0,9.0,-2.0,0.0,0.0,0.0,0,0,2,7,10,18.0,0.0,0.0,0.0,0.0,1,13.0,3,0,0,4,0,30.0,0.0,-2,0,0,-2,60.0,-1,0.0,0,0,0.0,0,-2,1,7,-1,0,-2,-2,0,0
Clockwork Leech,3,Construct,Construct,0,0,13,45,6,14,12,17,3,10,7,2.0,1.0,3.0,-4.0,0.0,-2.0,2.0,0,0,2,6,12,18.0,0.0,0.0,0.0,0.0,1,1.0,2,0,0,3,0,30.0,60.0,-4,2,0,-4,0.0,3,0.0,-2,0,0.0,-2,-4,0,2,1,0,-4,-4,-2,-2
Clockwork Mantis,4,Construct,Construct,0,0,15,68,8,13,19,16,3,15,1,1.0,4.0,3.0,-4.0,2.0,-5.0,5.0,0,0,5,6,15,18.0,0.0,0.0,0.0,0.0,1,6.0,4,0,0,4,0,40.0,0.0,-4,5,2,-4,0.0,7,0.0,-5,2,0.0,-5,-4,0,1,4,2,-4,-4,-5,-5
Clockwork Tiger,4,Construct,Construct,0,0,16,112,15,18,16,15,7,10,6,4.0,3.0,2.0,-2.0,0.0,-2.0,0.0,0,0,2,6,10,18.0,0.0,0.0,0.0,0.0,1,6.0,3,1,0,4,0,40.0,0.0,-2,0,0,-2,0.0,3,0.0,-2,0,0.0,-2,-2,0,4,3,0,-2,-2,-2,-2
Colláis,4,Monstrosity,Monstrosity,0,0,16,150,20,19,15,14,10,17,13,4.0,2.0,2.0,0.0,3.0,5.0,7.0,0,3,0,2,17,36.0,0.0,0.0,0.0,0.0,2,10.0,4,0,0,2,0,40.0,0.0,0,7,3,0,0.0,2,0.0,1,3,0.0,1,0,0,4,2,3,0,0,9,1
Compsognathus,1,Beast,Beast,0,0,12,10,3,6,14,12,4,10,5,-2.0,2.0,1.0,-3.0,0.0,-3.0,2.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,1,0.125,1,0,0,2,0,30.0,0.0,-3,2,0,-3,0.0,6,0.0,-3,0,0.0,-3,-3,0,-2,2,0,-3,-3,-3,-3
Conjoined Queen,4,Monstrosity,Monstrosity,-1,0,18,168,16,18,16,21,13,14,18,4.0,7.0,5.0,1.0,6.0,4.0,6.0,0,0,1,3,16,18.0,0.0,18.0,0.0,0.0,1,10.0,4,0,0,4,0,40.0,0.0,1,6,2,1,0.0,3,20.0,4,2,30.0,4,1,0,4,3,2,1,1,4,4
Corpse Worm,4,Monstrosity,Monstrosity,0,0,14,76,8,16,12,19,1,12,5,3.0,1.0,4.0,-5.0,1.0,-3.0,3.0,0,0,1,1,13,18.0,0.0,0.0,0.0,0.0,1,3.0,2,1,0,1,0,30.0,0.0,-5,3,1,-5,0.0,1,0.0,-3,1,30.0,-3,-5,0,3,1,1,-5,-5,-3,-3
Corrupted Pixie,1,Fiend,Fiend,-1,-1,15,5,2,2,20,10,12,14,15,-4.0,5.0,0.0,1.0,2.0,2.0,4.0,0,0,0,0,14,18.0,0.0,0.0,0.0,0.0,4,0.5,2,0,0,2,0,10.0,0.0,1,4,2,1,30.0,7,0.0,2,2,0.0,2,1,0,-4,5,2,1,1,2,2
Crimson Shambler,3,Plant,Plant,0,0,12,32,5,12,10,14,1,11,5,1.0,0.0,2.0,-5.0,0.0,-3.0,0.0,0,0,2,3,10,0.0,18.0,0.0,0.0,0.0,1,0.5,2,0,0,2,0,20.0,0.0,-5,0,0,-5,0.0,0,0.0,-3,0,0.0,-3,-5,0,1,0,0,-5,-5,-3,-3
Crinaea,3,Fey,Fey,0,0,13,44,8,11,16,12,14,12,17,0.0,3.0,1.0,2.0,1.0,3.0,3.0,0,1,1,1,13,18.0,0.0,0.0,0.0,0.0,2,2.0,1,0,0,4,0,30.0,60.0,2,3,1,2,0.0,5,0.0,3,1,0.0,3,2,0,0,3,1,2,2,3,3
Crocotta,3,Monstrosity,Monstrosity,0,-1,14,39,6,16,15,14,8,12,8,3.0,2.0,2.0,-1.0,1.0,-1.0,5.0,0,3,0,2,15,0.0,0.0,0.0,0.0,0.0,1,3.0,2,0,0,3,0,50.0,0.0,-1,5,1,-1,0.0,4,0.0,-1,1,0.0,-1,-1,0,3,2,1,-1,-1,-1,-1
Cryoceros,4,Monstrosity,Monstrosity,0,0,15,133,14,19,11,18,3,13,8,4.0,0.0,4.0,-4.0,1.0,-1.0,1.0,0,2,0,0,11,0.0,0.0,0.0,0.0,0.0,1,6.0,3,0,0,2,0,40.0,0.0,-4,1,1,-4,0.0,0,0.0,-1,1,0.0,-1,-4,0,7,0,1,-4,-4,-1,-1
Crystalline Monolith,5,Aberration,Aberration,1,0,15,123,13,14,10,16,19,17,17,2.0,0.0,3.0,4.0,3.0,3.0,6.0,0,2,1,5,16,0.0,36.0,0.0,0.0,36.0,3,7.0,4,0,3,4,0,0.0,0.0,7,6,3,4,30.0,0,0.0,3,6,0.0,3,7,1,2,0,3,4,7,3,3
Culicoid,4,Fiend,demon,-1,-1,18,190,20,20,15,18,11,14,9,5.0,6.0,8.0,0.0,2.0,-1.0,6.0,0,6,1,1,16,36.0,0.0,0.0,0.0,18.0,2,12.0,3,0,0,5,0,30.0,0.0,0,6,2,0,60.0,6,0.0,-1,2,0.0,-1,0,1,5,6,2,0,0,-1,-1
Dancing Foliage,3,Plant,Plant,-1,1,13,66,12,9,17,12,10,13,14,-1.0,3.0,1.0,0.0,1.0,2.0,3.0,-1,2,1,3,13,0.0,0.0,0.0,0.0,0.0,2,4.0,3,1,0,3,0,40.0,0.0,0,3,1,0,0.0,3,0.0,2,1,0.0,2,0,0,-1,5,1,0,0,2,6
Darakhul Captain,3,Undead,Undead,1,-1,16,165,22,18,16,17,14,14,18,4.0,3.0,3.0,2.0,2.0,4.0,6.0,0,1,1,3,16,18.0,0.0,0.0,0.0,0.0,3,9.0,7,0,0,5,0,30.0,0.0,2,6,2,2,0.0,3,0.0,4,6,0.0,4,2,0,4,3,2,2,2,8,4
Darakhul Spy,3,Undead,Undead,0,-1,16,91,14,16,18,14,14,12,14,3.0,4.0,2.0,2.0,1.0,2.0,4.0,0,1,1,3,14,18.0,0.0,0.0,0.0,0.0,2,5.0,5,0,0,6,0,30.0,0.0,2,4,1,2,0.0,7,0.0,2,1,0.0,5,2,0,3,4,4,2,2,2,2
De Ogen,3,Undead,Undead,0,-1,15,45,6,1,20,16,11,13,10,-5.0,5.0,3.0,0.0,1.0,0.0,1.0,0,7,3,8,11,18.0,0.0,0.0,0.0,0.0,1,4.0,1,0,0,4,0,0.0,0.0,0,1,1,0,40.0,9,0.0,0,1,0.0,0,0,1,-5,5,1,0,0,0,0
Death Barque,6,Undead,Undead,0,-1,17,198,12,20,18,23,8,14,12,5.0,8.0,10.0,-1.0,6.0,1.0,6.0,0,1,2,5,16,36.0,0.0,0.0,0.0,0.0,2,12.0,5,0,0,4,0,0.0,50.0,-1,6,2,-1,0.0,7,0.0,1,2,0.0,1,-1,0,5,4,2,-1,-1,1,1
Death Shroud Golem,4,Construct,Construct,0,0,12,95,10,17,15,18,3,10,1,3.0,2.0,4.0,-4.0,0.0,-5.0,0.0,0,5,2,7,10,18.0,0.0,0.0,0.0,0.0,1,5.0,2,0,0,5,0,10.0,0.0,-4,0,0,-4,40.0,5,0.0,-5,0,0.0,-5,-4,1,3,2,0,-4,-4,-5,-5
Death Vulture,4,Monstrosity,Monstrosity,0,-1,12,76,8,18,10,18,6,12,7,4.0,0.0,6.0,-2.0,1.0,-2.0,3.0,0,0,2,1,13,18.0,0.0,0.0,0.0,0.0,1,4.0,4,0,0,3,0,10.0,0.0,-2,3,1,-2,60.0,0,0.0,-2,1,0.0,-2,-2,0,4,0,1,-2,-2,-2,-2
Deathspeaker,3,Undead,Undead,1,-1,14,97,13,12,16,17,18,12,15,1.0,3.0,3.0,4.0,1.0,2.0,1.0,0,0,1,2,11,18.0,0.0,0.0,0.0,0.0,1,4.0,4,0,0,1,0,30.0,0.0,4,1,1,4,0.0,3,0.0,8,1,0.0,8,4,0,1,3,1,4,4,2,2
Deathweaver,5,Monstrosity,Monstrosity,0,-1,16,95,10,16,14,17,7,12,15,3.0,2.0,3.0,-2.0,1.0,2.0,4.0,0,1,0,0,14,18.0,6.0,0.0,0.0,0.0,1,5.0,3,0,0,4,0,40.0,0.0,-2,4,1,-2,0.0,5,0.0,2,1,40.0,2,-2,0,3,2,1,-2,-2,2,2
Deep Troll,4,Giant,Giant,-1,-1,15,63,6,18,13,20,7,9,7,4.0,1.0,5.0,-2.0,-1.0,-2.0,-1.0,0,0,0,0,9,18.0,9.0,0.0,0.0,0.0,1,4.0,3,0,0,3,0,30.0,0.0,-2,-1,-1,-2,0.0,1,20.0,-2,-1,0.0,-2,-2,0,4,1,-1,-2,-2,-2,-2
Derendian Moth Abomination,5,Monstrosity,Monstrosity,0,-1,14,210,20,14,20,18,16,14,10,2.0,9.0,4.0,3.0,2.0,0.0,2.0,0,0,2,1,16,36.0,0.0,0.0,0.0,0.0,1,12.0,4,0,3,5,0,30.0,0.0,3,2,2,3,40.0,9,0.0,0,2,0.0,0,3,0,2,5,2,3,3,0,0
Derro Explorer,2,Humanoid,derro,0,1,15,44,8,13,16,14,10,12,5,1.0,3.0,2.0,0.0,1.0,-3.0,3.0,0,0,0,0,13,36.0,0.0,0.0,0.0,0.0,3,2.0,2,0,0,3,0,30.0,0.0,0,3,1,0,0.0,5,0.0,-3,1,0.0,-3,0,0,3,3,5,0,0,-3,-3
Derro Guard,2,Humanoid,derro,0,1,13,18,4,10,14,12,11,5,9,0.0,2.0,1.0,0.0,-3.0,-1.0,-3.0,0,0,0,0,7,36.0,0.0,0.0,0.0,0.0,3,0.5,2,0,0,3,0,30.0,0.0,0,-3,-3,0,0.0,4,0.0,-1,-3,0.0,-1,0,0,0,2,-3,0,0,-1,-1
Derro Shadowseeker,2,Humanoid,derro,-1,-1,17,112,15,9,20,18,13,7,14,-1.0,5.0,4.0,1.0,-2.0,5.0,1.0,0,0,0,0,11,36.0,0.0,0.0,0.0,0.0,3,6.0,4,0,0,5,0,30.0,0.0,1,1,-2,1,0.0,8,0.0,2,-2,0.0,2,1,0,-1,8,-2,1,1,2,2
Destroyer,3,Humanoid,satarre,0,-1,15,60,8,16,12,17,10,10,13,5.0,1.0,5.0,0.0,0.0,1.0,2.0,0,1,0,0,12,18.0,0.0,0.0,0.0,0.0,2,3.0,4,0,0,3,0,30.0,0.0,2,2,0,0,0.0,1,0.0,1,0,0.0,1,0,0,5,1,0,0,0,3,1
Dimensional Shambler,4,Aberration,Aberration,0,-1,16,102,12,22,21,17,21,16,13,6.0,9.0,7.0,9.0,7.0,1.0,7.0,0,6,1,3,17,18.0,0.0,0.0,0.0,0.0,3,9.0,3,0,0,3,0,30.0,0.0,5,7,3,5,0.0,9,0.0,1,3,0.0,1,9,0,10,5,3,5,5,1,1
Diminution Drake,3,Dragon,Dragon,0,-1,15,71,13,14,18,12,6,13,10,2.0,7.0,4.0,-2.0,4.0,0.0,4.0,0,0,1,3,17,0.0,9.0,0.0,0.0,0.0,2,5.0,5,0,0,2,0,30.0,0.0,-2,4,1,-2,60.0,4,0.0,0,1,0.0,0,-2,0,2,4,4,-2,-2,0,0
Dragonflesh Golem,4,Construct,Construct,0,0,18,115,11,22,7,20,3,10,1,6.0,-2.0,5.0,-4.0,0.0,-5.0,0.0,0,5,3,6,10,36.0,0.0,0.0,0.0,0.0,1,10.0,5,0,0,3,0,30.0,0.0,-4,0,0,-4,0.0,-2,0.0,-5,0,0.0,-5,-4,0,6,-2,0,-4,-4,-5,-5
Dread Walker Excavator,4,Construct,Construct,0,0,16,75,10,18,19,14,14,16,12,4.0,7.0,2.0,2.0,6.0,1.0,6.0,0,3,2,8,16,18.0,0.0,18.0,0.0,0.0,1,5.0,3,0,0,2,0,30.0,30.0,2,6,3,2,0.0,4,0.0,1,3,30.0,1,2,0,4,4,3,2,2,1,1
Edjet Initiate,3,Humanoid,dragonborn,1,0,12,19,3,14,12,14,10,10,10,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0,1,0,0,10,0.0,0.0,0.0,0.0,0.0,2,0.25,2,0,0,2,0,30.0,0.0,0,0,0,0,0.0,1,0.0,0,0,0.0,0,0,0,4,1,0,0,0,0,0
Egret Harpy,3,Monstrosity,Monstrosity,0,0,12,75,10,16,14,17,11,14,15,3.0,2.0,3.0,0.0,2.0,2.0,2.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,2,2.0,5,0,0,1,0,30.0,0.0,0,2,2,0,60.0,2,0.0,2,2,0.0,2,0,0,3,4,2,0,2,2,2
Eldritch Ooze,4,Ooze,Ooze,0,0,8,153,18,16,6,16,1,6,8,3.0,-2.0,3.0,-5.0,-2.0,-1.0,-2.0,0,0,4,6,8,0.0,18.0,0.0,0.0,0.0,1,5.0,1,1,0,3,0,10.0,0.0,-5,-2,-2,-5,0.0,-2,0.0,-1,-2,10.0,-1,-5,0,3,-2,-2,-5,-5,-1,-1
Emperor’s Hyena,3,Undead,Undead,0,-1,14,91,14,16,14,15,6,10,8,3.0,4.0,2.0,-2.0,0.0,-1.0,2.0,0,5,1,3,12,18.0,0.0,0.0,0.0,0.0,2,4.0,3,0,0,3,0,50.0,0.0,-2,2,0,-2,0.0,2,0.0,-1,0,0.0,-1,-2,0,3,2,0,-2,-2,-1,-1
Empusa,3,Monstrosity,shapechanger,-1,-1,16,102,12,20,13,18,10,14,19,5.0,1.0,4.0,0.0,6.0,7.0,5.0,0,0,0,0,15,18.0,0.0,0.0,0.0,0.0,1,5.0,3,0,0,4,0,40.0,0.0,0,5,2,0,0.0,4,0.0,4,2,0.0,7,0,0,5,1,2,0,0,4,4
Eonic Savant,3,Humanoid,human,0,0,13,115,16,9,16,16,20,11,15,-1.0,3.0,3.0,5.0,3.0,2.0,3.0,0,0,0,1,13,0.0,0.0,0.0,0.0,0.0,4,7.0,2,0,0,4,0,30.0,0.0,8,3,0,5,0.0,3,0.0,5,0,0.0,2,8,0,-1,3,0,5,5,2,2
Fabricator,4,Construct,Construct,0,0,13,147,14,18,7,20,15,15,5,4.0,-2.0,5.0,2.0,2.0,-3.0,6.0,0,3,3,9,16,0.0,18.0,0.0,0.0,0.0,3,10.0,2,0,0,2,0,30.0,15.0,2,6,2,2,0.0,-2,0.0,-3,2,15.0,-3,2,0,4,-2,2,2,2,-3,-3
Faceless Wanderer,3,Aberration,Aberration,0,-1,13,58,9,12,17,14,16,12,10,1.0,3.0,2.0,3.0,3.0,0.0,1.0,0,1,2,4,12,0.0,18.0,0.0,0.0,18.0,2,4.0,3,0,0,2,0,0.0,0.0,3,1,1,3,30.0,3,0.0,0,1,0.0,0,3,1,1,3,1,3,3,0,0
Falsifier Fog,5,Undead,Undead,-1,-1,13,52,8,1,17,10,14,16,15,-5.0,3.0,0.0,2.0,3.0,2.0,3.0,0,7,1,7,13,0.0,18.0,0.0,0.0,0.0,1,4.0,3,0,0,4,0,0.0,0.0,2,3,3,2,60.0,3,0.0,2,3,0.0,2,2,1,-5,3,3,2,2,2,2
Fane Spirit,3,Undead,Undead,1,0,13,52,7,7,16,16,10,18,17,-2.0,3.0,3.0,0.0,6.0,3.0,4.0,0,9,2,9,14,18.0,0.0,0.0,0.0,0.0,1,3.0,1,0,0,3,0,20.0,0.0,0,4,4,4,40.0,3,0.0,3,4,0.0,5,0,1,-2,3,4,0,0,3,3
Far Dorocha,3,Fey,Fey,1,-1,14,82,15,10,18,13,14,10,18,0.0,4.0,1.0,2.0,0.0,4.0,3.0,0,3,0,2,13,18.0,0.0,0.0,0.0,0.0,4,5.0,3,0,0,4,0,30.0,0.0,2,3,0,2,0.0,7,0.0,4,0,0.0,7,2,0,0,4,0,2,2,4,4
Felid Dragon,5,Dragon,Dragon,0,0,18,275,22,18,26,23,16,17,19,10.0,8.0,12.0,3.0,9.0,10.0,9.0,0,0,1,2,13,36.0,18.0,0.0,0.0,0.0,2,19.0,5,0,0,4,0,40.0,0.0,3,9,3,3,80.0,16,0.0,4,3,0.0,4,3,0,4,14,3,3,3,4,4
Fennec Fox,1,Beast,Beast,0,0,11,7,2,6,12,12,2,14,10,-2.0,1.0,1.0,-4.0,2.0,0.0,2.0,0,0,0,0,12,18.0,0.0,0.0,0.0,0.0,1,0.125,1,0,0,1,0,40.0,0.0,-4,2,2,-4,0.0,3,5.0,0,2,0.0,0,-4,0,-2,1,2,-4,-4,0,0
Fey Revenant,4,Fey,Fey,1,-1,19,161,17,14,18,18,10,14,14,2.0,7.0,4.0,0.0,2.0,2.0,5.0,0,2,1,1,15,36.0,0.0,0.0,0.0,0.0,3,7.0,4,0,0,6,0,30.0,0.0,0,5,2,0,0.0,7,0.0,2,2,30.0,2,0,0,2,4,2,0,0,2,2
Fire-Infused Water Elemental,5,Elemental,Elemental,0,0,14,138,12,20,14,20,5,10,8,5.0,2.0,5.0,-3.0,0.0,-1.0,0.0,0,6,1,8,10,18.0,0.0,0.0,0.0,0.0,1,7.0,3,0,0,1,0,30.0,90.0,-3,0,0,-3,0.0,2,0.0,-1,0,0.0,-1,-3,0,5,2,0,-3,-3,-1,-1
Flayed Wraith,3,Undead,Undead,0,-1,12,67,9,9,15,17,12,9,8,-1.0,2.0,3.0,1.0,2.0,-1.0,-1.0,0,4,2,5,9,18.0,0.0,0.0,0.0,0.0,1,5.0,3,0,0,2,0,0.0,0.0,1,-1,-1,1,60.0,2,0.0,-1,-1,0.0,-1,1,1,-1,2,-1,1,1,-1,-1
Fleshdreg,5,Plant,Plant,0,1,15,115,10,19,6,20,13,16,7,4.0,-2.0,8.0,1.0,3.0,-2.0,3.0,0,1,1,2,13,18.0,0.0,0.0,0.0,0.0,3,5.0,4,0,0,1,0,30.0,0.0,1,3,3,1,0.0,-2,0.0,-2,6,0.0,-2,1,0,4,-2,3,1,4,-2,-2
Fleshspurned,3,Undead,Undead,-1,-1,14,75,10,1,18,16,10,14,16,-5.0,4.0,3.0,0.0,4.0,3.0,4.0,0,8,2,9,14,18.0,0.0,0.0,0.0,0.0,1,4.0,2,0,0,2,0,0.0,0.0,0,4,2,0,40.0,6,0.0,3,2,0.0,3,0,1,-5,4,2,0,0,3,3
Flithidir,2,Fey,shapechanger,-1,0,13,27,6,10,16,12,12,13,15,0.0,3.0,1.0,1.0,1.0,2.0,3.0,0,0,0,0,13,18.0,0.0,0.0,0.0,0.0,3,1.0,3,1,0,3,0,30.0,0.0,1,3,1,1,60.0,3,0.0,2,1,0.0,2,1,0,0,5,1,1,1,2,6
Forest Emperor,5,Aberration,Aberration,0,-1,18,161,14,23,12,21,12,20,8,6.0,1.0,10.0,1.0,10.0,-1.0,10.0,0,0,3,0,20,18.0,0.0,0.0,0.0,0.0,2,15.0,4,0,0,3,0,30.0,0.0,1,10,5,1,60.0,6,0.0,-1,5,30.0,-1,1,0,6,1,5,1,6,-1,-1
Forest Falcon,3,Beast,Beast,0,0,13,13,3,6,16,12,3,14,5,-2.0,5.0,1.0,-4.0,4.0,-3.0,4.0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,1,0.25,1,0,0,2,0,20.0,0.0,-4,4,2,-4,60.0,3,0.0,-3,2,0.0,-3,-4,0,-2,3,2,-4,-4,-3,-3
Fragrant One,2,Fey,Fey,-1,0,11,45,13,7,12,10,18,15,18,-2.0,1.0,0.0,6.0,4.0,6.0,4.0,0,0,0,2,14,18.0,0.0,0.0,0.0,18.0,4,3.0,1,1,0,2,0,20.0,0.0,4,4,2,4,0.0,1,0.0,8,4,20.0,8,4,0,-2,1,2,4,4,4,4
Frost Mole,2,Beast,Beast,0,0,14,71,11,16,15,16,3,13,6,3.0,2.0,3.0,-4.0,1.0,-2.0,3.0,0,1,0,0,13,0.0,18.0,0.0,0.0,0.0,1,3.0,1,0,0,4,0,30.0,0.0,-4,3,1,-4,0.0,4,30.0,-2,1,0.0,-2,-4,0,5,2,1,-4,-4,-2,-2
