name,size_numeric,type,sub_race,ethics,morale,armor_class,hit_points,hit_dice_count,strength,dexterity,constitution,intelligence,wisdom,charisma,strength_save,dexterity_save,constitution_save,intelligence_save,wisdom_save,charisma_save,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,passive_perception,sense_darkvision_m,sense_blindsight_m,sense_tremorsense_m,sense_truesight_m,lang_telepathy_m,languages_count,cr,actions_count,reactions_count,legendary_actions_count,special_abilities_count,spell_list_count,speed.walk,speed.swim,skills.history,skills.perception,skills.medicine,skills.religion,speed.fly,skills.stealth,speed.burrow,skills.persuasion,skills.insight,speed.climb,skills.deception,skills.arcana,speed.hover,skills.athletics,skills.acrobatics,skills.survival,skills.investigation,skills.nature,skills.intimidation,skills.performance,speed.lightwalking
Ikuchi,6,Elemental,Elemental,-1,0,16,116,8,20,13,18,6,12,8,5.0,1.0,4.0,-2.0,1.0,-1.0,4.0,0,3,1,1,14,18.0,0.0,0.0,0.0,0.0,1,8.0,4,0,0,2,0,20.0,50.0,,4.0,,,,,,,,,,,,,,,,,,,
"Illhveli, Kembingur",6,Monstrosity,Monstrosity,-1,-1,17,210,12,27,12,24,7,14,12,12.0,1.0,11.0,-2.0,2.0,1.0,10.0,0,1,0,1,20,18.0,0.0,0.0,0.0,0.0,1,12.0,4,0,0,4,0,5.0,60.0,,10.0,,,,,,,,,,,,12.0,,,,,,,
"Illhveli, Nauthveli",6,Monstrosity,Monstrosity,-1,-1,18,280,16,30,10,25,6,15,12,15.0,0.0,12.0,-2.0,7.0,1.0,7.0,0,1,0,2,17,18.0,0.0,0.0,0.0,0.0,1,16.0,5,0,0,3,0,10.0,60.0,,7.0,,,,,,,,,,,,15.0,,,,,,,
Imperial Dragon Wyrmling,3,Dragon,Dragon,0,0,17,60,8,19,12,17,14,12,14,4.0,3.0,5.0,2.0,3.0,4.0,5.0,0,0,2,0,15,18.0,3.0,0.0,0.0,0.0,1,3.0,2,0,0,2,0,30.0,30.0,,5.0,,,60.0,3.0,,,3.0,,,,,,,,,,,,
Incarnate Gloom,6,Undead,Undead,0,-1,16,184,16,4,19,13,12,15,20,-3.0,4.0,1.0,1.0,7.0,5.0,2.0,-1,8,2,8,12,0.0,0.0,0.0,36.0,36.0,2,13.0,3,0,0,3,0,0.0,,,,,,40.0,9.0,,,,,,,True,,,,,,10.0,,
Infernal Centaur,3,Fiend,Fiend,1,-1,15,60,8,17,12,16,11,14,13,3.0,1.0,3.0,0.0,2.0,1.0,4.0,0,0,1,0,14,18.0,0.0,0.0,0.0,0.0,3,4.0,3,0,0,3,0,40.0,,,4.0,,,,,,,,,,,,,,,,,3.0,,
Infernal Swarm,5,Fiend,Swarm of Devils,1,-1,16,150,20,18,16,13,8,12,19,4.0,3.0,1.0,-1.0,1.0,4.0,1.0,-1,5,2,8,11,36.0,0.0,0.0,0.0,18.0,2,12.0,5,0,0,3,0,25.0,,,,,,40.0,,,,,,,,True,,,,,,,,
Initiate of the Elder Elementals,2,Humanoid,kobold,0,-1,12,33,6,9,14,15,16,11,12,-1.0,2.0,4.0,5.0,0.0,1.0,0.0,0,0,0,0,10,18.0,0.0,0.0,0.0,0.0,3,2.0,2,0,0,5,0,30.0,,,,,5.0,,,,,,,,,,,,,,,3.0,,
Irid,1,Celestial,Celestial,-1,0,13,20,8,4,17,10,12,10,16,-3.0,3.0,0.0,1.0,2.0,5.0,2.0,0,1,1,4,12,18.0,0.0,0.0,0.0,18.0,3,1.0,4,0,0,3,0,10.0,,,2.0,,,40.0,5.0,,7.0,,,7.0,,,,,,,,,,
Jack of Strings,3,Fey,Fey,-1,0,14,90,12,14,19,17,15,14,20,2.0,7.0,3.0,2.0,2.0,5.0,2.0,0,3,0,2,12,18.0,0.0,0.0,0.0,0.0,3,5.0,4,0,0,1,0,30.0,,,,,,,,,,,,,,,,10.0,,,,,8.0,
Kachlian,5,Aberration,Aberration,0,-1,16,157,15,18,10,19,16,15,9,4.0,0.0,4.0,3.0,2.0,-1.0,2.0,0,1,0,3,12,36.0,0.0,0.0,0.0,0.0,2,8.0,2,0,0,2,0,0.0,,,,,,40.0,,,,,,,,True,,,,,,,,
Kamaitachi,2,Monstrosity,shapechanger,-1,0,14,84,13,12,19,16,9,12,13,1.0,4.0,3.0,-1.0,1.0,1.0,1.0,0,1,0,0,11,18.0,0.0,0.0,0.0,0.0,2,5.0,3,0,0,5,0,30.0,,,,,,,6.0,,,,15.0,,,,,6.0,,,,3.0,,
Kaveph,5,Aberration,Aberration,0,-1,16,136,13,21,13,18,8,10,7,5.0,4.0,7.0,-1.0,0.0,-2.0,0.0,-1,1,0,0,10,0.0,27.0,0.0,0.0,0.0,1,6.0,3,1,0,1,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Keelbreaker Crab,5,Monstrosity,Monstrosity,0,0,16,157,15,19,10,18,3,12,10,4.0,0.0,4.0,-4.0,1.0,0.0,5.0,0,0,0,0,15,0.0,18.0,0.0,0.0,0.0,1,9.0,3,0,0,3,0,40.0,40.0,,5.0,,,,4.0,,,,,,,,,,,,,,,
Kelp Drake,3,Dragon,Dragon,0,-1,15,60,8,18,14,16,7,12,10,4.0,2.0,3.0,-2.0,1.0,0.0,3.0,0,0,0,0,13,18.0,0.0,0.0,0.0,0.0,1,3.0,5,0,0,2,0,20.0,50.0,,3.0,,,,4.0,,,,,,,,6.0,,,,,,,
Kelp Eel,5,Plant,Plant,0,0,17,157,15,18,14,19,3,15,5,4.0,2.0,4.0,-4.0,2.0,-3.0,2.0,0,3,0,3,12,0.0,27.0,0.0,0.0,0.0,1,10.0,4,0,0,2,0,10.0,50.0,,,,,,,,,,,,,,,,,,,,,
Keyhole Dragonette,1,Dragon,Dragon,0,0,14,27,6,12,15,14,7,10,13,1.0,2.0,2.0,-2.0,0.0,1.0,2.0,0,0,0,0,12,18.0,0.0,9.0,0.0,0.0,2,0.5,3,0,0,4,0,30.0,,,2.0,,,,4.0,,,,20.0,,,,,,,,,,,
Kezai,3,Monstrosity,Monstrosity,0,0,16,67,9,13,18,16,4,12,12,1.0,4.0,3.0,-3.0,1.0,1.0,1.0,0,0,1,0,11,0.0,18.0,0.0,0.0,0.0,1,4.0,4,0,0,1,0,30.0,,,,,,50.0,,,,,,,,,,,,,,,,
Khodumodumo,6,Monstrosity,Monstrosity,0,0,18,186,12,23,20,21,4,15,7,11.0,5.0,10.0,-3.0,2.0,-2.0,7.0,0,5,0,0,17,0.0,36.0,0.0,0.0,0.0,1,14.0,4,0,0,2,0,25.0,,,7.0,,,,10.0,,,,,,,,,,,,,,,
Kirikari,5,Monstrosity,Monstrosity,0,0,16,142,15,21,17,16,4,14,4,5.0,3.0,3.0,-3.0,2.0,-3.0,6.0,0,0,2,1,16,0.0,0.0,18.0,0.0,0.0,1,9.0,4,0,0,3,0,30.0,30.0,,6.0,,,,11.0,,,,,,,,,,,,,,,
Knight Ab-errant,4,Humanoid,Humanoid,0,0,14,93,11,19,12,17,10,11,13,7.0,4.0,3.0,0.0,0.0,1.0,0.0,-1,0,0,0,10,0.0,0.0,0.0,0.0,0.0,1,5.0,3,0,0,4,0,30.0,,,,,,,,,,,,,,,7.0,,,,,4.0,,
Kobold Spellclerk,2,Humanoid,kobold,1,0,12,21,6,6,14,10,16,12,12,-2.0,2.0,0.0,5.0,1.0,1.0,3.0,0,0,0,0,13,18.0,0.0,0.0,0.0,0.0,2,0.5,2,0,0,4,0,30.0,,,3.0,,,,4.0,,3.0,,,5.0,5.0,,,4.0,,5.0,,,,
Kobold War Machine,4,Construct,Construct,0,0,16,114,12,21,14,19,2,7,1,5.0,6.0,8.0,-4.0,-2.0,-5.0,-2.0,0,3,2,10,8,18.0,0.0,0.0,0.0,0.0,1,9.0,4,0,0,5,0,25.0,,,,,,,,,,,,,,,9.0,,,,,,,
Lambent Witchfyre,4,Aberration,Aberration,0,0,15,110,13,10,16,17,2,11,1,0.0,3.0,3.0,-4.0,0.0,-5.0,0.0,0,0,2,7,10,0.0,18.0,0.0,0.0,0.0,1,7.0,2,0,0,3,0,20.0,,,,,,,,,,,,,,,,,,,,,,
Lantern Beetle,1,Beast,Beast,0,0,13,2,1,6,12,10,1,7,3,-2.0,1.0,0.0,-5.0,-2.0,-4.0,-2.0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0,1,0,30.0,,,,,,10.0,,,,,10.0,,,,,,,,,,,
Lava Keeper,5,Elemental,Elemental,1,0,18,276,24,24,10,21,10,18,12,7.0,0.0,11.0,0.0,10.0,1.0,10.0,0,5,2,5,20,18.0,0.0,36.0,0.0,0.0,2,18.0,4,0,0,2,0,40.0,,12.0,10.0,,,,,40.0,,,,,,,,,,,,,,
Lazavik,1,Fey,Fey,0,1,14,36,8,12,18,15,13,17,14,1.0,4.0,2.0,1.0,3.0,2.0,7.0,0,1,0,2,17,36.0,0.0,0.0,0.0,0.0,2,3.0,2,0,0,4,0,30.0,30.0,,7.0,,,,8.0,,,,,,,,,,5.0,,,,,
Leech Swarm,3,Beast,Beast,0,0,13,32,5,5,16,15,2,13,4,-3.0,3.0,2.0,-4.0,1.0,-3.0,3.0,0,3,0,8,13,9.0,0.0,0.0,0.0,0.0,1,2.0,1,0,0,3,0,10.0,40.0,,3.0,,,,5.0,,,,,,,,,,,,,,,
Lesser Lunarchidna,3,Aberration,Aberration,0,-1,15,39,6,10,15,14,6,12,13,0.0,2.0,2.0,-2.0,1.0,1.0,3.0,0,0,1,2,13,18.0,3.0,0.0,0.0,0.0,2,2.0,3,0,0,3,0,30.0,,,3.0,,,,6.0,,,,30.0,,,,,,,,,,,
Light Drake,1,Dragon,Dragon,0,1,13,24,7,7,16,13,8,12,14,-2.0,3.0,1.0,-1.0,1.0,2.0,3.0,0,1,0,0,13,18.0,0.0,0.0,0.0,0.0,2,0.5,2,0,0,2,0,20.0,,,3.0,,,60.0,,,,,,,,True,,5.0,,,,,,
Liminal Drake,4,Dragon,Dragon,0,-1,17,204,24,7,24,16,15,18,17,-2.0,7.0,8.0,2.0,9.0,3.0,4.0,0,8,1,8,14,36.0,0.0,0.0,0.0,0.0,1,14.0,5,0,0,3,0,0.0,,,,,,80.0,,,,,,,,True,,,,,,,,
Locksmith,3,Construct,Construct,0,0,18,102,12,20,18,18,16,10,6,5.0,4.0,4.0,3.0,0.0,-2.0,0.0,0,3,3,6,10,0.0,27.0,0.0,0.0,0.0,1,8.0,3,0,0,2,0,40.0,,,,,,,8.0,,,4.0,,,,,,,,,,,,
Luck Leech,3,Fey,Fey,0,-1,17,150,20,14,21,16,17,14,19,2.0,9.0,3.0,3.0,6.0,4.0,6.0,0,0,1,1,16,18.0,0.0,0.0,0.0,0.0,3,10.0,3,0,0,3,0,30.0,,,6.0,,,,9.0,,,,,8.0,,,,,,,,,,
Lunarian,3,Fey,Fey,-1,0,16,97,15,18,15,14,13,12,15,4.0,2.0,2.0,1.0,1.0,2.0,1.0,0,2,0,3,11,18.0,0.0,0.0,0.0,0.0,3,5.0,2,0,0,4,0,30.0,,4.0,,,,40.0,5.0,,,,15.0,,,,,5.0,4.0,,,,,
Lymarien Swarm,4,Fey,Swarm,0,1,14,90,12,8,19,14,7,13,15,-1.0,4.0,2.0,-2.0,1.0,2.0,4.0,0,3,0,8,14,18.0,0.0,0.0,0.0,0.0,1,5.0,2,0,0,4,0,5.0,,,4.0,,,50.0,7.0,,,,,,,,,,,,,,,
Lymarien,1,Fey,Fey,0,1,13,5,2,1,17,10,7,13,11,-5.0,3.0,0.0,-2.0,1.0,0.0,3.0,0,0,0,0,13,18.0,0.0,0.0,0.0,0.0,1,0.125,1,0,0,2,0,5.0,,,3.0,,,50.0,5.0,,,,,,,,,,,,,,,
Mad Piper,4,Construct,Construct,0,0,12,19,3,16,8,14,5,7,16,3.0,-1.0,2.0,-3.0,-2.0,3.0,-2.0,0,0,1,6,8,18.0,0.0,0.0,0.0,0.0,3,2.0,2,0,0,1,0,30.0,,,,,,,,,,,,,,,,,,,,,5.0,
Magma Octopus,4,Elemental,Elemental,0,0,16,147,14,21,17,21,5,8,7,5.0,3.0,5.0,-3.0,-1.0,-2.0,-1.0,0,0,1,0,9,18.0,0.0,0.0,0.0,0.0,1,8.0,3,0,0,2,0,40.0,,,,,,,6.0,,,,,,,,8.0,,,,,,,
Magnetic Elemental,4,Elemental,Elemental,0,0,16,95,10,18,12,18,6,10,6,4.0,1.0,4.0,-2.0,0.0,-2.0,0.0,0,3,2,6,10,18.0,0.0,9.0,0.0,0.0,1,6.0,3,0,0,2,0,30.0,,,,,,20.0,,20.0,,,,,,True,,,,,,,,
Major Malleable,5,Aberration,Aberration,-1,-1,13,218,23,22,8,17,19,16,10,6.0,-1.0,3.0,8.0,7.0,4.0,3.0,0,0,1,2,13,0.0,27.0,0.0,0.0,36.0,2,10.0,5,1,0,5,0,40.0,,,,,,,,,,,40.0,,,,,,,,,,,
Manggus,4,Giant,shapechanger,-1,-1,14,127,15,18,14,16,8,7,9,4.0,2.0,6.0,-1.0,-2.0,-1.0,-2.0,0,0,0,1,8,18.0,0.0,0.0,0.0,0.0,2,5.0,3,0,0,3,0,30.0,,,,,,,,,,,,,,,,,,,,5.0,,
Mangrove Treant,5,Plant,Plant,0,0,15,136,13,20,7,19,12,15,12,5.0,-2.0,4.0,1.0,2.0,1.0,2.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,4,7.0,3,0,0,4,0,30.0,,,,,,,,,,,,,,,8.0,,,,4.0,,,
Mari Lwyd,4,Undead,Undead,0,0,15,66,7,16,13,19,10,14,15,3.0,1.0,4.0,0.0,2.0,4.0,2.0,0,1,1,4,12,18.0,0.0,0.0,0.0,0.0,5,4.0,3,0,0,3,0,40.0,,,,,,,,,,,,,,,,,,,,4.0,6.0,
Marsh Dire,3,Undead,Undead,0,-1,15,142,15,18,13,20,7,11,8,4.0,1.0,5.0,-2.0,0.0,-1.0,3.0,0,2,1,3,13,18.0,0.0,0.0,0.0,0.0,1,8.0,3,0,0,1,0,30.0,30.0,,3.0,,,,,,,,,,,,,,,,,,,
Massive Malleable,6,Aberration,Aberration,-1,-1,14,248,16,26,8,20,21,17,10,8.0,-1.0,5.0,10.0,8.0,5.0,3.0,0,0,1,2,13,0.0,36.0,0.0,0.0,36.0,2,16.0,4,1,0,5,0,40.0,,,,,,,,,,,40.0,,,,,,,,,,,
Mead Archon,3,Celestial,Celestial,-1,1,14,82,11,20,16,17,14,18,20,5.0,3.0,5.0,2.0,6.0,7.0,4.0,0,5,0,4,14,18.0,0.0,0.0,0.0,18.0,2,4.0,6,0,0,3,0,30.0,,,,,,60.0,,,,,,,,,7.0,,,,,,,
Mei Jiao Shou,6,Beast,Beast,0,0,14,139,9,23,7,21,3,9,6,6.0,1.0,5.0,-4.0,-1.0,-2.0,-1.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,1,7.0,3,0,0,1,0,50.0,,,,,,,,,,,,,,,,,,,,,,
Mineral Ooze,4,Ooze,Ooze,0,0,9,76,8,14,8,18,1,5,3,2.0,-1.0,4.0,-5.0,-3.0,-4.0,-3.0,0,3,0,6,7,0.0,18.0,0.0,0.0,0.0,1,3.0,3,0,0,3,0,20.0,,,,,,,,,,,,,,,,,,,,,,
Minor Malleable,3,Aberration,Aberration,-1,-1,11,32,5,16,8,14,15,14,10,3.0,-1.0,2.0,4.0,4.0,2.0,2.0,0,0,1,2,12,0.0,9.0,0.0,0.0,18.0,2,1.0,3,0,0,4,0,30.0,,,,,,,,,,,30.0,,,,,,,,,,,
Moderate Malleable,4,Aberration,Aberration,-1,-1,12,136,16,18,8,16,17,15,10,4.0,-1.0,3.0,6.0,5.0,3.0,2.0,0,0,2,0,12,0.0,18.0,0.0,0.0,18.0,2,5.0,5,1,0,5,0,30.0,,,,,,,,,,,30.0,,,,,,,,,,,
Moonkite,4,Celestial,Celestial,1,1,15,93,11,15,18,16,14,16,19,2.0,4.0,3.0,2.0,6.0,7.0,6.0,0,5,1,5,16,0.0,36.0,0.0,0.0,36.0,2,5.0,4,0,0,4,0,0.0,,,6.0,,5.0,120.0,,,,6.0,,,,True,,,,,,,,
Mountain Dryad,5,Fey,Fey,0,0,17,172,15,29,12,20,14,18,18,9.0,1.0,9.0,2.0,4.0,8.0,8.0,0,1,2,6,18,18.0,0.0,18.0,0.0,0.0,2,11.0,4,0,0,4,0,40.0,,,8.0,,,,5.0,30.0,,,,,,,13.0,,,,,8.0,,
Mountain Nymph,3,Fey,Fey,-1,0,15,112,15,12,18,16,10,18,14,1.0,7.0,3.0,0.0,7.0,2.0,7.0,0,0,0,0,17,27.0,0.0,0.0,0.0,0.0,3,6.0,2,0,0,4,0,30.0,,,7.0,,,,7.0,,,,30.0,,,,,,7.0,,,,,
Mountain Strider,4,Monstrosity,Monstrosity,-1,0,12,34,4,16,14,17,8,14,9,3.0,2.0,3.0,-1.0,2.0,-1.0,2.0,0,1,0,0,12,18.0,0.0,0.0,0.0,0.0,1,1.0,3,1,0,2,0,30.0,,,,,,,,,,,30.0,,,,,,4.0,,,,,
Murgrik,4,Aberration,Aberration,-1,-1,18,152,16,23,10,18,6,14,9,6.0,0.0,4.0,-2.0,2.0,-1.0,6.0,0,0,0,0,16,18.0,0.0,0.0,0.0,0.0,1,9.0,5,0,0,4,0,40.0,40.0,,6.0,,,20.0,,,,,,,,,10.0,,,,,,,
Mydnari,3,Humanoid,Humanoid,0,-1,13,22,4,12,16,13,14,16,14,1.0,3.0,1.0,2.0,3.0,2.0,5.0,0,0,1,1,15,0.0,18.0,0.0,0.0,0.0,2,0.5,2,0,0,3,0,30.0,,,5.0,,,,,,,,,4.0,,,,,,,,4.0,,
Mystic,3,Humanoid,satarre,0,-1,14,75,10,12,14,16,17,11,12,1.0,2.0,5.0,3.0,0.0,1.0,2.0,0,1,0,0,12,18.0,0.0,0.0,0.0,0.0,2,3.0,4,1,0,5,0,30.0,,,2.0,,,,,,,,,,5.0,,,,,,,3.0,,
Naizu-Ha,2,Fey,kami,0,-1,17,117,18,17,15,17,13,11,13,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0,0,0,2,10,0.0,0.0,0.0,0.0,0.0,2,6.0,4,0,0,4,0,30.0,,,,,,,5.0,,,,,,,,,,,,,,,
Narshark,4,Monstrosity,Monstrosity,0,0,14,25,3,16,12,15,2,14,4,3.0,1.0,2.0,-4.0,2.0,-3.0,6.0,0,0,0,1,18,18.0,0.0,0.0,0.0,0.0,1,0.5,1,0,0,3,0,10.0,,,6.0,,,40.0,3.0,,,,,,,True,,,,,,,,
Nephirron Devil,5,Fiend,devil,1,-1,19,225,18,27,14,23,22,19,25,8.0,7.0,11.0,6.0,9.0,7.0,9.0,0,5,2,2,19,0.0,0.0,0.0,27.0,36.0,3,16.0,3,1,0,4,0,40.0,,,9.0,,,80.0,,,12.0,9.0,,12.0,11.0,,,,,,,12.0,,
Nharyth,5,Aberration,Aberration,-1,-1,17,168,16,20,15,18,5,14,7,5.0,2.0,4.0,-3.0,2.0,-2.0,6.0,0,2,0,3,16,0.0,36.0,0.0,0.0,0.0,1,9.0,3,0,0,1,0,0.0,,,6.0,,,40.0,6.0,,,,,,,True,,,,,,,,
Noth-norren,6,Elemental,Elemental,-1,-1,14,203,14,21,18,18,8,14,10,5.0,8.0,8.0,-1.0,2.0,0.0,2.0,0,4,2,9,12,18.0,0.0,0.0,0.0,0.0,1,13.0,5,0,0,2,0,0.0,,,,,,90.0,,,,,,,,True,,,,,,,,
Nyctli Swarm,4,Fey,Swarm,-1,-1,14,110,20,10,18,10,6,14,16,0.0,4.0,0.0,-2.0,2.0,3.0,6.0,0,3,0,8,16,18.0,0.0,0.0,0.0,0.0,1,10.0,2,0,0,2,0,10.0,,,6.0,,,40.0,,,,,,,,True,,,,,,,,
Nyctli,1,Fey,Fey,-1,-1,14,7,3,2,18,10,6,14,12,-4.0,4.0,0.0,-2.0,2.0,1.0,4.0,0,0,0,0,14,18.0,0.0,0.0,0.0,0.0,1,0.25,2,0,0,0,0,10.0,,,4.0,,,40.0,6.0,,,,,,,True,,,,,,,,
Oasis Keeper,5,Monstrosity,Monstrosity,0,0,15,123,13,20,14,16,3,12,8,5.0,6.0,3.0,-4.0,5.0,-1.0,5.0,0,3,1,1,15,18.0,6.0,0.0,0.0,0.0,1,9.0,3,0,0,3,0,30.0,30.0,,5.0,,,,6.0,,,,,,,,,,,,,,,
Ogrepede,5,Undead,Undead,-1,-1,13,142,15,21,9,17,5,5,3,5.0,-1.0,3.0,-3.0,0.0,-4.0,-3.0,0,0,1,4,7,27.0,0.0,0.0,0.0,0.0,1,6.0,3,0,0,2,0,40.0,,,,,,,,,,,20.0,,,,,,,,,,,
One-Horned Ogre,4,Giant,Giant,0,-1,14,93,11,21,10,17,8,10,18,5.0,0.0,3.0,-1.0,0.0,4.0,0.0,0,0,0,0,10,18.0,0.0,0.0,0.0,0.0,2,5.0,4,0,0,3,0,40.0,,,,,,,,,,,,,,,,,,,,7.0,,
Onyx Magistrate,4,Construct,Construct,1,-1,16,123,13,19,10,18,16,20,20,4.0,0.0,4.0,3.0,5.0,5.0,8.0,0,3,5,6,18,18.0,0.0,0.0,0.0,0.0,2,8.0,4,1,0,3,0,0.0,,,8.0,,6.0,30.0,,,8.0,8.0,,,,True,,,,,,8.0,,
Ophidiotaur,4,Monstrosity,Monstrosity,-1,-1,16,95,10,19,13,18,8,16,14,4.0,1.0,4.0,-1.0,5.0,2.0,6.0,0,0,1,1,16,27.0,0.0,0.0,0.0,0.0,3,5.0,4,0,0,2,0,50.0,30.0,,6.0,,,,7.0,,,,,,,,7.0,,,,,,,
Ophinix,4,Monstrosity,Monstrosity,0,0,13,60,8,18,16,15,2,12,5,4.0,3.0,2.0,-4.0,1.0,-3.0,3.0,0,0,1,0,13,36.0,9.0,0.0,0.0,0.0,1,2.0,4,0,0,2,0,10.0,,,3.0,,,40.0,5.0,,,,,,,,,,,,,,,
Ophio Fungus,5,Plant,Plant,0,0,14,119,14,10,6,14,20,17,17,0.0,-2.0,2.0,5.0,3.0,3.0,3.0,-1,2,2,6,13,0.0,36.0,0.0,0.0,36.0,2,7.0,1,0,0,1,0,10.0,,,,,,,,,,,,,,,,,,,,,,
Orniraptor,2,Monstrosity,Monstrosity,0,0,11,16,3,10,13,14,2,7,8,0.0,1.0,2.0,-4.0,-2.0,-1.0,-2.0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,1,0.25,2,0,0,3,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Orphan of the Black,2,Fey,Fey,0,-1,13,49,9,10,16,14,8,10,13,0.0,3.0,2.0,-1.0,0.0,1.0,0.0,0,1,0,2,10,18.0,0.0,0.0,0.0,0.0,1,2.0,3,0,0,3,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Ortifex,3,Undead,Undead,0,-1,12,78,12,17,10,15,8,13,12,3.0,0.0,4.0,-1.0,3.0,1.0,1.0,0,0,1,7,11,0.0,18.0,0.0,0.0,0.0,1,4.0,2,0,0,3,0,0.0,,,,,,30.0,,,,,,,,True,,,,,,,,
Otterfolk,2,Humanoid,otterfolk,-1,1,14,18,4,12,17,12,10,14,11,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0,0,0,0,12,9.0,0.0,0.0,0.0,0.0,1,0.25,3,0,0,3,0,25.0,30.0,,,,,,5.0,,,,15.0,,,,,,4.0,,,,,
Overshadow,4,Undead,Undead,-1,-1,14,90,12,6,18,15,13,13,12,-2.0,4.0,2.0,1.0,1.0,1.0,1.0,-1,8,2,8,11,36.0,0.0,0.0,0.0,0.0,1,4.0,3,0,0,3,0,40.0,,,,,,,6.0,,,,,,,,,,,,,,,
Pal-Rai-Yuk,5,Monstrosity,Monstrosity,0,-1,16,133,14,21,11,16,10,13,18,5.0,0.0,6.0,0.0,1.0,4.0,1.0,0,1,0,1,11,18.0,0.0,18.0,0.0,0.0,3,8.0,3,0,0,4,0,40.0,60.0,,,,,,3.0,40.0,,,,,,,8.0,,,,,,,
Pale Screamer,3,Aberration,Aberration,0,-1,14,52,7,16,14,17,7,13,8,3.0,2.0,3.0,-2.0,1.0,-1.0,3.0,0,3,0,0,13,27.0,0.0,0.0,0.0,0.0,1,3.0,3,0,0,1,0,30.0,30.0,,3.0,,,,,,,,,,,,5.0,,,,,,,
Parzz’val,4,Aberration,Aberration,-1,-1,14,115,11,21,16,20,5,10,7,5.0,3.0,8.0,-3.0,0.0,-2.0,0.0,-1,3,1,3,10,0.0,36.0,0.0,0.0,0.0,1,8.0,3,0,0,3,0,50.0,,,,,,,6.0,,,,,,,,,,,,,,,
Peat Mammoth,5,Plant,Plant,0,0,16,172,15,24,6,21,1,8,3,7.0,-2.0,5.0,-5.0,-1.0,-4.0,-1.0,0,2,0,3,9,0.0,36.0,0.0,0.0,0.0,1,10.0,3,0,0,2,0,30.0,,,,,,,6.0,,,,,,,,,,,,,,,
Pestilence Swarm,3,Beast,Swarm,0,0,14,22,4,7,16,13,1,12,7,-2.0,3.0,1.0,-5.0,1.0,-2.0,1.0,0,3,0,8,11,18.0,0.0,0.0,0.0,0.0,1,1.0,1,0,0,2,0,10.0,,,,,,30.0,,,,,,,,True,,,,,,,,
Phase Giant,5,Giant,Giant,0,0,15,136,13,21,11,18,8,15,8,5.0,0.0,4.0,-1.0,2.0,-1.0,2.0,0,0,0,0,12,18.0,0.0,0.0,0.0,0.0,2,5.0,3,0,0,1,0,40.0,,,,,,,,,,,20.0,,,,,,,,,,,
Pine Doom,5,Plant,Plant,0,0,16,172,15,20,7,21,11,16,12,5.0,-2.0,5.0,0.0,3.0,1.0,7.0,-1,2,0,0,17,0.0,0.0,0.0,0.0,0.0,2,9.0,4,0,0,3,0,30.0,,,7.0,,,,,,,,,,,,,,,,8.0,,,
Pixie’s Umbrella,2,Plant,Plant,0,0,7,10,4,1,5,10,1,5,1,-5.0,-3.0,0.0,-5.0,-3.0,-5.0,-3.0,0,0,0,3,7,0.0,9.0,0.0,0.0,0.0,1,0.125,1,1,0,1,0,5.0,,,,,,,,,,,,,,,,,,,,,,
Plague Spirit,3,Fey,Fey,0,0,14,150,20,10,18,17,2,18,16,0.0,8.0,3.0,-4.0,8.0,3.0,4.0,0,3,2,6,14,36.0,0.0,0.0,0.0,0.0,1,9.0,4,0,0,2,0,40.0,,,,,,,,,,,,,,,,,,,,,,
Primal Oozer,3,Aberration,Aberration,0,-1,14,112,15,18,13,16,6,15,5,4.0,4.0,3.0,-2.0,2.0,-3.0,2.0,0,1,1,0,12,18.0,0.0,0.0,0.0,0.0,1,6.0,2,0,0,4,0,30.0,20.0,,,,,,,,,,10.0,,,,,,,,,,,
Psychic Vampire,3,Undead,Undead,1,-1,17,144,17,18,18,18,23,15,18,4.0,9.0,4.0,6.0,7.0,9.0,2.0,0,4,1,0,12,36.0,0.0,0.0,0.0,0.0,1,13.0,5,0,3,5,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Pustulent Shambler,6,Ooze,Ooze,0,0,10,232,15,19,5,20,3,10,1,4.0,-3.0,5.0,-4.0,0.0,-5.0,0.0,0,1,3,6,10,0.0,18.0,0.0,0.0,0.0,1,13.0,3,0,0,5,0,30.0,,,,,,,,,,,30.0,,,,,,,,,,,
Putrescent Slime,3,Ooze,Ooze,0,0,8,45,6,12,8,16,1,6,1,1.0,-1.0,3.0,-5.0,-2.0,-5.0,-2.0,0,0,2,6,8,0.0,18.0,0.0,0.0,0.0,1,1.0,1,0,0,2,0,20.0,10.0,,,,,,,,,,,,,,,,,,,,,
